"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTSL",1469519.96990671,23.8922286482223,1.38700904388453,17.2257194382154,1.70297025247688e-66,4.91477214864828e-63
"ART3",532236.614074298,-30,2.33668041681513,-12.8387261621723,9.94981527148913e-38,1.43575834367588e-34
"COL8A1",337542.476266958,30,2.36776811775414,12.6701596220729,8.65381248503668e-37,8.32496761060529e-34
"ADAL",238773.984049943,30,2.38541833549089,12.5764104155871,2.8467390249594e-36,2.05392220650821e-33
"CFHR5",792723.680971086,30,2.79989910356224,10.7146718115063,8.68647885601766e-27,5.01383559569339e-24
"BROX",283181.188606697,30,2.85792211514583,10.4971370076925,8.90397515415648e-26,3.95285997235243e-23
"RAE1",284841.519367284,30,2.85982582120986,10.490149357176,9.58767145061226e-26,3.95285997235243e-23
"DCLK1",155898.348497797,-30,2.91642674941909,-10.2865604308339,8.10189439541598e-25,5.99422959013005e-23
"SCYL1",5406170.98882251,30,2.95661207677274,10.1467487857745,3.42586676853015e-24,5.99422959013005e-23
"SEPW1",3519185.89756512,30,2.9566120783919,10.1467487802177,3.42586696353288e-24,5.99422959013005e-23
"SRM",789587.460560625,30,2.95661209412094,10.1467487262375,3.4258688578493e-24,5.99422959013005e-23
"CYBRD1",743698.835605364,30,2.95661209536759,10.1467487219591,3.42586900798891e-24,5.99422959013005e-23
"ABCB6",627108.511679709,30,2.95661209935474,10.1467487082757,3.42586948817921e-24,5.99422959013005e-23
"HMGN4",611609.389819366,30,2.95661209999909,10.1467487060644,3.42586956578117e-24,5.99422959013005e-23
"CCDC50",538619.68870069,30,2.95661210353204,10.1467486939397,3.42586999127039e-24,5.99422959013005e-23
"TIAL1",528483.837704106,30,2.95661210409952,10.1467486919922,3.42587005961439e-24,5.99422959013005e-23
"F5-20",519755.76166135,30,2.95661210460614,10.1467486902535,3.42587012062939e-24,5.99422959013005e-23
"YIF1A",493571.878372539,30,2.95661210623321,10.1467486846696,3.42587031658464e-24,5.99422959013005e-23
"C11orf31",448177.263638448,30,2.95661210950444,10.1467486734431,3.425870710553e-24,5.99422959013005e-23
"RPE",431043.38111693,30,2.95661211091822,10.1467486685912,3.42587088082043e-24,5.99422959013005e-23
